"ANO_ELEICAO","UF","NUM_TURNO","NUMERO_CANDIDATO","DESCRICAO_CARGO","QTDE_VOTOS"
"2018","PR","1","96","PRESIDENTE","308785"
"2018","PR","2","13","PRESIDENTE","1948790"
"2018","PR","2","17","PRESIDENTE","4224416"
"2018","PR","2","95","PRESIDENTE","132345"
"2018","PR","2","96","PRESIDENTE","290303"
"2018","RJ","1","12","PRESIDENTE","1300292"
"2018","RJ","1","13","PRESIDENTE","1255425"
"2018","RJ","1","15","PRESIDENTE","77333"
"2018","RJ","1","16","PRESIDENTE","6005"
"2018","RJ","1","17","PRESIDENTE","5107735"
"2018","RJ","1","18","PRESIDENTE","130794"
"2018","RJ","1","19","PRESIDENTE","41544"
"2018","RJ","1","27","PRESIDENTE","4636"
"2018","RJ","1","30","PRESIDENTE","139208"
"2018","RJ","1","45","PRESIDENTE","208325"
"2018","RJ","1","50","PRESIDENTE","57846"
"2018","RJ","1","51","PRESIDENTE","211444"
"2018","RJ","1","54","PRESIDENTE","2806"
"2018","RJ","1","95","PRESIDENTE","282605"
"2018","RJ","1","96","PRESIDENTE","653582"
"2018","RJ","2","13","PRESIDENTE","2673386"
"2018","RJ","2","17","PRESIDENTE","5669059"
"2018","RJ","2","95","PRESIDENTE","219829"
"2018","RJ","2","96","PRESIDENTE","859238"
"2018","RN","1","12","PRESIDENTE","399766"
"2018","RN","1","13","PRESIDENTE","738165"
"2018","RN","1","15","PRESIDENTE","11480"
"2018","RN","1","16","PRESIDENTE","1034"
"2018","RN","1","17","PRESIDENTE","541448"
"2018","RN","1","18","PRESIDENTE","10690"
"2018","RN","1","19","PRESIDENTE","5148"
"2018","RN","1","27","PRESIDENTE","486"
"2018","RN","1","30","PRESIDENTE","15570"
"2018","RN","1","45","PRESIDENTE","40405"
"2018","RN","1","50","PRESIDENTE","6975"
"2018","RN","1","51","PRESIDENTE","20575"
"2018","RN","1","54","PRESIDENTE","511"
"2018","RN","1","95","PRESIDENTE","44605"
"2018","RN","1","96","PRESIDENTE","130877"
"2018","RN","2","13","PRESIDENTE","1131027"
"2018","RN","2","17","PRESIDENTE","652562"
"2018","RN","2","95","PRESIDENTE","29990"
"2018","RN","2","96","PRESIDENTE","129752"
"2018","RO","1","12","PRESIDENTE","52118"
"2018","RO","1","13","PRESIDENTE","176107"
"2018","RO","1","15","PRESIDENTE","12829"
"2018","RO","1","16","PRESIDENTE","464"
"2018","RO","1","17","PRESIDENTE","538311"
"2018","RO","1","18","PRESIDENTE","7351"
"2018","RO","1","19","PRESIDENTE","8738"
"2018","RO","1","27","PRESIDENTE","272"
"2018","RO","1","30","PRESIDENTE","16329"
"2018","RO","1","45","PRESIDENTE","37048"
"2018","RO","1","50","PRESIDENTE","5368"
"2018","RO","1","51","PRESIDENTE","9816"
"2018","RO","1","54","PRESIDENTE","150"
"2018","RO","1","95","PRESIDENTE","15329"
"2018","RO","1","96","PRESIDENTE","33110"
"2018","RO","2","13","PRESIDENTE","229343"
"2018","RO","2","17","PRESIDENTE","594968"
"2018","RO","2","95","PRESIDENTE","13856"
"2018","RO","2","96","PRESIDENTE","44054"
"2018","RR","1","12","PRESIDENTE","14838"
"2018","RR","1","13","PRESIDENTE","49406"
"2018","RR","1","15","PRESIDENTE","3426"
"2018","RR","1","16","PRESIDENTE","146"
"2018","RR","1","17","PRESIDENTE","174306"
"2018","RR","1","18","PRESIDENTE","4098"
"2018","RR","1","19","PRESIDENTE","1472"
"2018","RR","1","27","PRESIDENTE","116"
"2018","RR","1","30","PRESIDENTE","4309"
"2018","RR","1","45","PRESIDENTE","19231"
"2018","RR","1","50","PRESIDENTE","2443"
"2018","RR","1","51","PRESIDENTE","2928"
"2018","RR","1","54","PRESIDENTE","69"
"2018","RR","1","95","PRESIDENTE","2833"
"2018","RR","1","96","PRESIDENTE","7529"
"2018","RR","2","13","PRESIDENTE","72872"
"2018","RR","2","17","PRESIDENTE","183268"
"2018","RR","2","95","PRESIDENTE","3700"
"2018","RR","2","96","PRESIDENTE","10811"
"2018","RS","1","12","PRESIDENTE","724429"
"2018","RS","1","13","PRESIDENTE","1453291"
"2018","RS","1","15","PRESIDENTE","124713"
"2018","RS","1","16","PRESIDENTE","3086"
"2018","RS","1","17","PRESIDENTE","3353623"
"2018","RS","1","18","PRESIDENTE","50007"
"2018","RS","1","19","PRESIDENTE","44890"
"2018","RS","1","27","PRESIDENTE","1525"
"2018","RS","1","30","PRESIDENTE","186087"
"2018","RS","1","45","PRESIDENTE","350800"
"2018","RS","1","50","PRESIDENTE","41736"
"2018","RS","1","51","PRESIDENTE","35458"
"2018","RS","1","54","PRESIDENTE","2791"
"2018","RS","1","95","PRESIDENTE","235396"
"2018","RS","1","96","PRESIDENTE","230716"
"2018","RS","2","13","PRESIDENTE","2263171"
"2018","RS","2","17","PRESIDENTE","3893737"
"2018","RS","2","95","PRESIDENTE","208909"
"2018","RS","2","96","PRESIDENTE","411601"
"2018","SC","1","12","PRESIDENTE","264312"
"2018","SC","1","13","PRESIDENTE","598578"
"2018","SC","1","15","PRESIDENTE","51670"
"2018","SC","1","16","PRESIDENTE","1686"
"2018","SC","1","17","PRESIDENTE","2603665"
"2018","SC","1","18","PRESIDENTE","25813"
"2018","SC","1","19","PRESIDENTE","51771"
"2018","SC","1","27","PRESIDENTE","859"
"2018","SC","1","30","PRESIDENTE","158562"
"2018","SC","1","45","PRESIDENTE","154068"
"2018","SC","1","50","PRESIDENTE","21484"
"2018","SC","1","51","PRESIDENTE","22392"
"2018","SC","1","54","PRESIDENTE","923"
"2018","SC","1","95","PRESIDENTE","103220"
"2018","SC","1","96","PRESIDENTE","187275"
"2018","SC","2","13","PRESIDENTE","940724"
"2018","SC","2","17","PRESIDENTE","2966242"
"2018","SC","2","95","PRESIDENTE","88680"
"2018","SC","2","96","PRESIDENTE","221888"
"2018","SE","1","12","PRESIDENTE","148526"
"2018","SE","1","13","PRESIDENTE","571234"
"2018","SE","1","15","PRESIDENTE","8784"
"2018","SE","1","16","PRESIDENTE","3093"
"2018","SE","1","17","PRESIDENTE","310310"
"2018","SE","1","18","PRESIDENTE","15829"
"2018","SE","1","19","PRESIDENTE","4483"
"2018","SE","1","27","PRESIDENTE","231"
"2018","SE","1","30","PRESIDENTE","9192"
"2018","SE","1","45","PRESIDENTE","45978"
"2018","SE","1","50","PRESIDENTE","7934"
"2018","SE","1","51","PRESIDENTE","14069"
"2018","SE","1","54","PRESIDENTE","717"
"2018","SE","1","95","PRESIDENTE","32124"
"2018","SE","1","96","PRESIDENTE","107796"
"2018","SE","2","13","PRESIDENTE","759061"
"2018","SE","2","17","PRESIDENTE","364860"
"2018","SE","2","95","PRESIDENTE","21087"
"2018","SE","2","96","PRESIDENTE","119746"
"2018","SP","1","12","PRESIDENTE","2650440"
"2018","SP","1","13","PRESIDENTE","3833982"
"2018","SP","1","15","PRESIDENTE","267725"
"2018","SP","1","16","PRESIDENTE","12434"
"2018","SP","1","17","PRESIDENTE","12378012"
"2018","SP","1","18","PRESIDENTE","262050"
"2018","SP","1","19","PRESIDENTE","177949"
"2018","SP","1","27","PRESIDENTE","14462"
"2018","SP","1","30","PRESIDENTE","1062118"
"2018","SP","1","45","PRESIDENTE","2224049"
"2018","SP","1","50","PRESIDENTE","187451"
"2018","SP","1","51","PRESIDENTE","274672"
"2018","SP","1","54","PRESIDENTE","7435"
"2018","SP","1","95","PRESIDENTE","837211"
"2018","SP","1","96","PRESIDENTE","1740759"
"2018","SP","2","13","PRESIDENTE","7212132"
"2018","SP","2","17","PRESIDENTE","15306023"
"2018","SP","2","95","PRESIDENTE","746949"
"2018","SP","2","96","PRESIDENTE","2581039"
"2018","TO","1","12","PRESIDENTE","54262"
"2018","TO","1","13","PRESIDENTE","311212"
"2018","TO","1","15","PRESIDENTE","5324"
"2018","TO","1","16","PRESIDENTE","251"
"2018","TO","1","17","PRESIDENTE","337782"
"2018","TO","1","18","PRESIDENTE","7229"
"2018","TO","1","19","PRESIDENTE","2471"
"2018","TO","1","27","PRESIDENTE","242"
"2018","TO","1","30","PRESIDENTE","7113"
"2018","TO","1","45","PRESIDENTE","21666"
"2018","TO","1","50","PRESIDENTE","2764"
"2018","TO","1","51","PRESIDENTE","6284"
"2018","TO","1","54","PRESIDENTE","160"
"2018","TO","1","95","PRESIDENTE","8915"
"2018","TO","1","96","PRESIDENTE","65924"
"2018","TO","2","13","PRESIDENTE","371593"
