ANO_ELEICAO,NUM_TURNO,DESCRICAO_ELEICAO,SIGLA_UF,SIGLA_UE,NUMERO_PARTIDO,SIGLA_PARTIDO,NUMERO_CANDIDATO,DES_SITUACAO_CANDIDATURA,IDADE_DATA_ELEICAO,DESCRICAO_SEXO,DESCRICAO_GRAU_INSTRUCAO,DESCRICAO_ESTADO_CIVIL,DESCRICAO_COR_RACA,DESC_SIT_TOT_TURNO
2014,1,Eleições Gerais 2014,AC,AC,55,PSD,5533,DEFERIDO,35,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,25,DEM,2500,DEFERIDO,60,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,54,PPL,5444,DEFERIDO,60,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,45,PSDB,4595,DEFERIDO,26,FEMININO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,45,PSDB,4505,DEFERIDO,26,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,36,PTC,3633,DEFERIDO,64,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AL,AL,28,PRTB,2820,DEFERIDO,24,FEMININO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,10,PRB,1011,DEFERIDO,39,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,40,PSB,4040,DEFERIDO,53,MASCULINO,SUPERIOR COMPLETO,CASADO(A),AMARELA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,10,PRB,1000,DEFERIDO,24,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,13,PT,1313,DEFERIDO,57,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PRETA,ELEITO POR MÉDIA
2014,1,Eleições Gerais 2014,AL,AL,27,PSDC,2777,DEFERIDO,55,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,27,PSDC,2727,DEFERIDO,52,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,14,PTB,1444,DEFERIDO,46,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,23,PPS,2356,DEFERIDO,21,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,10,PRB,1052,DEFERIDO,42,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,11,PP,1111,DEFERIDO COM RECURSO,45,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,ELEITO POR QP
2014,1,Eleições Gerais 2014,AL,AL,28,PRTB,2880,DEFERIDO,47,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,28,PRTB,2899,DEFERIDO,50,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,15,PMDB,1516,DEFERIDO,49,FEMININO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,23,PPS,2323,DEFERIDO,60,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,45,PSDB,4500,DEFERIDO,57,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,28,PRTB,2828,DEFERIDO,55,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AL,AL,15,PMDB,1580,DEFERIDO,62,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SUPLENTE
