dbn,school_name,num_of_sat_test_takers,critical_reading_mean,math_mean,writing_mean,building_code,location_name,location_code,address,geographical_district_code,postcode,latitude,longitude,geo_cat_code
13K499,ACORN COMMUNITY HIGH SCHOOL,72,384,364,368,K909,ACORN Community High School,K499,561 GRAND AVENUE,13,11238,40.678488,-73.962105,13-16
13K553,BROOKLYN ACADEMY HIGH SCHOOL,8,435,383,379,K458,Brooklyn Academy High School,K553,832 MARCY AVENUE,13,11216,40.685004,-73.947152,13-16
13K575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,13,398,391,394,K458,Bedford Stuyvesant Preparatory High School,K575,832 MARCY AVENUE,13,11216,40.685004,-73.947152,13-16
13K595,BEDFORD ACADEMY HIGH SCHOOL,89,438,443,431,K994,Bedford Academy High School,K595,1119 BEDFORD AVENUE,13,11216,40.68538,-73.954302,13-16
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392,K580,George Westinghouse Career and Technical Education,K605,105 JOHNSON STREET,13,11201,40.694926,-73.986015,13-16
13K670,BENJAMIN BANNEKER ACADEMY,185,471,472,448,K914,Benjamin Banneker Academy,K670,71-77 CLINTON AVENUE,13,11205,40.695332,-73.969243,13-16
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20,441,499,413,K580,"City Polytechnic High School of Engineering, Archi",K674,105 JOHNSON STREET,13,11201,40.694926,-73.986015,13-16
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,102,365,361,359,K071,Juan Morel Campos Secondary School,K071,215 HEYWARD STREET,14,11206,40.703624,-73.953146,13-16
14K449,"BROOKLYN LATIN SCHOOL, THE",72,586,584,570,K049,"Brooklyn Latin School, The",K449,223 GRAHAM AVENUE,14,11206,40.709941,-73.943641,13-16
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,407,386,396,K049,Green School: An Academy for Environmental Careers,K454,223 GRAHAM AVENUE,14,11206,40.709941,-73.943641,13-16
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144,364,379,371,K450,PROGRESS High School for Professional Careers,K474,850 GRAND STREET,14,11211,40.712184,-73.939722,13-16
14K477,SCHOOL FOR LEGAL STUDIES,134,413,396,395,K450,School for Legal Studies,K477,850 GRAND STREET,14,11211,40.712184,-73.939722,13-16
14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142,398,421,396,K450,"The High School for Enterprise, Business and Techn",K478,850 GRAND STREET,14,11211,40.712184,-73.939722,13-16
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,350,K650,Brooklyn Preparatory High School,K488,257 NORTH  6 STREET,14,11211,40.715073,-73.954754,13-16
